order_id,customer_id,customer_name,product_id,product_name,category,order_date,quantity,unit_price,total_price,payment_method,country,city,status,update_time
1.0,1921,Lucía Fernández,25,MacBook Pro,Tecnología,07-13-2023,5.0,755.33,3776.65,Tarjeta,IT,Valencia,Cancelado,2023-07-13 21:00:00
2.0,1940,Juan Pérez,186,Samsung Galaxy,Tecnología,2024-03-25,1.0,1901.92,1901.92,Transferencia,DE,Madrid,Pendiente,2024-03-25 07:00:00
3.0,1593,Ana Sánchez,7,iPhone 13,Tecnología,07/09/2023,2.0,1466.67,2933.34,Bizum,spain,Barcelona,Entregado,2023-09-07 13:00:00
4.0,1765,María García,86,Aspiradora Dyson,Hogar,08-02-2024,3.0,1201.33,3603.99,Tarjeta,France,Paris,Entregado,2024-08-02 02:00:00
5.0,1724,DAVID GÓMEZ,20,Bolso Gucci,Moda,03/10/2023,1.0,320.48,320.48,Transferencia,FR,Lyon,Entregado,2023-10-03 19:00:00
6.0,1856,Lucía Fernández,63,iPhone 13,tecnologia,10-08-2024,5.0,320.43,1602.15,Tarjeta,IT,Paris,Pendiente,2024-10-08 20:00:00
7.0,1710,Carlos Ruiz,32,iPhone 13,Tecnología,2024-03-10,1.0,125.59,125.59,Bizum,ES,Milán,Entregado,2024-03-10 23:00:00
8.0,1477,Juan Pérez,21,Reloj Casio,Accesorios,03/02/2023,3.0,"1733,69",,Bizum,spain,Lyon,Entregado,2023-02-03 15:00:00
9.0,1185,Carlos Ruiz,71,Reloj Casio,Accesorios,08-27-2024,4.0,"1206,22",,Transferencia,España,Hamburgo,Pendiente,2024-08-27 15:00:00
10.0,1547,Laura Torres,94,MacBook Pro,Tecnología,2024-10-05,5.0,1419.06,7095.3,Bizum,DE,Berlín,Cancelado,2024-10-05 15:00:00
11.0,1742,David Gómez,185,Camiseta Adidas,Moda,27/04/2024,3.0,50.96,152.88,PayPal,España,Barcelona,Pendiente,2024-04-27 05:00:00
12.0,1028,Pedro López,31,Bolso Gucci,HOGAR,05-17-2024,2.0,1940.12,3880.24,Tarjeta,Germany,Hamburgo,Pendiente,2024-05-17 15:00:00
13.0,1713,María García,161,Sony Headphones,Tecnología,10-11-2023,3.0,1666.56,4999.68,Transferencia,FR,Valencia,Pendiente,2023-10-11 15:00:00
14.0,1520,LUCÍA FERNÁNDEZ,84,Bolso Gucci,Moda,04-04-2024,2.0,432.55,993.8085256044186,PayPal,spain,Barcelona,Cancelado,2024-04-04 12:00:00
15.0,1099,María García,152,Teclado Logitech,Tecnología,01-02-2024,1.0,371.83,371.83,Tarjeta,ES,Barcelona,Cancelado,2024-01-02 06:00:00
16.0,1471,Laura Torres,108,iPhone 13,Tecnología,01-18-2024,1.0,374.97,374.97,PayPal,FR,Valencia,Entregado,2024-01-18 09:00:00
17.0,1767,María García,189,Camiseta Adidas,Moda,20/11/2024,5.0,615.44,3077.2,PayPal,DE,Lyon,Entregado,2024-11-20 02:00:00
18.0,1285,Pedro López,102,Sony Headphones,Tecnología,27/03/2024,5.0,"1054,27",,Bizum,España,Paris,Cancelado,2024-03-27 09:00:00
19.0,1748,Laura Torres,3,Camiseta Adidas,Moda,2023-12-16,3.0,869.57,2658.330734007271,Transferencia,España,Paris,Entregado,2023-12-16 03:00:00
20.0,1391,David Gómez,131,Aspiradora Dyson,hogar,2024-04-22,3.0,589.55,1768.65,Bizum,spain,Paris,Pendiente,2024-04-22 19:00:00
21.0,1390,JUAN PÉREZ,151,Teclado Logitech,Tecnología,14/09/2024,5.0,1227.59,6137.95,Transferencia,Italy,Paris,Entregado,2024-09-14 04:00:00
22.0,1137,maría garcía,61,Sony Headphones,Tecnología,14/04/2024,1.0,287.59,287.59,PayPal,Germany,Barcelona,Pendiente,2024-04-14 15:00:00
23.0,1960,Ana Sánchez,191,Aspiradora Dyson,Hogar,10-19-2024,1.0,"591,37",,Transferencia,DE,Paris,Entregado,2024-10-19 14:00:00
24.0,1769,David Gómez,101,Aspiradora Dyson,Hogar,2023-01-18,1.0,739.06,739.06,PayPal,Italy,Valencia,Cancelado,2023-01-18 07:00:00
25.0,1769,LAURA TORRES,163,Mochila North Face,Accesorios,2023-02-17,4.0,917.58,3171.6017183170643,Transferencia,DE,Barcelona,Pendiente,2023-02-17 21:00:00
,1501,carlos ruiz,29,Samsung Galaxy,Tecnología,03-01-2023,3.0,1572.5,5414.904940126815,Bizum,ES,Lyon,Entregado,2023-03-01 13:00:00
27.0,1234,JUAN PÉREZ,145,Samsung Galaxy,Tecnología,08-29-2023,5.0,407.35,2036.75,Bizum,France,Lyon,Pendiente,2023-08-29 10:00:00
28.0,1454,Ana Sánchez,34,AirPods,Tecnología,25/06/2024,4.0,1033.33,3346.0820880296687,Tarjeta,Germany,Barcelona,Cancelado,2024-06-25 08:00:00
29.0,1231,JUAN PÉREZ,184,Silla Gaming,Hogar,04-28-2024,4.0,1188.9,4755.6,Transferencia,España,Berlín,Cancelado,2024-04-28 07:00:00
30.0,1763,Ana Sánchez,63,Silla Gaming,Hogar,2024-04-25,1.0,102.44,102.44,PayPal,ES,Lyon,Entregado,2024-04-25 10:00:00
31.0,1676,Juan Pérez,149,Aspiradora Dyson,Hogar,29/07/2023,2.0,1219.01,2438.02,Bizum,IT,Milán,Pendiente,2023-07-29 20:00:00
32.0,1527,PEDRO LÓPEZ,13,Sony Headphones,Tecnología,01/10/2024,3.0,349.34,1048.02,PayPal,España,Berlín,Pendiente,2024-10-01 06:00:00
33.0,1265,David Gómez,186,Reloj Casio,Accesorios,2024-11-25,2.0,139.45,278.9,PayPal,IT,Lyon,Entregado,2024-11-25 00:00:00
